,DecisionTree,RandomForest,GradientBoosting,AdaBoost,GNB,SVM
accuracy,0.8325890736342044,0.8395249406175772,0.8401425178147269,0.8348693586698339,0.8114489311163895,0.6083135391923989
precision,0.7721949488985412,0.788321145096325,0.7923836252609553,0.7798025881710552,0.7521180573615691,0.47407072447766946
recall,0.6861579449130039,0.6959642747126681,0.6911401128083108,0.6821584680588897,0.7080798155977142,0.44827766830957483
fscore,0.7122939510879244,0.7240031680219634,0.7206710255522606,0.7101653217792164,0.7172374739183257,0.45046146183659336
runtime,0.002295660972595215,0.1180044174194336,0.06500039100646973,0.12059874534606933,0.0017951488494873046,0.08773105144500733
TN,1557.3,1565.1,1573.0,1569.0,1468.0,1204.9
FN,261.7,254.9,261.5,268.6,216.9,381.4
TP,195.3,202.1,195.5,188.4,240.1,75.6
FP,90.7,82.9,75.0,79.0,180.0,443.1
