,android.permission.ACCESS_WIFI_STATE,android.permission.CAMERA,android.permission.CHANGE_NETWORK_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.DISABLE_KEYGUARD,android.permission.GET_TASKS,android.permission.INSTALL_PACKAGES,android.permission.READ_CALL_LOG,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,com.android.browser.permission.READ_HISTORY_BOOKMARKS,android.permission.READ_LOGS,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RESTART_PACKAGES,android.permission.SEND_SMS,android.permission.SET_WALLPAPER,android.permission.SYSTEM_ALERT_WINDOW,android.permission.WRITE_APN_SETTINGS,android.permission.WRITE_CONTACTS,android.permission.WRITE_SETTINGS,class
count,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0,30854.0
mean,0.48768393077072664,0.09800998249821741,0.06326570298826732,0.11758605043106242,0.057820703960588575,0.13687042198742463,0.04718999157321579,0.012867051273740843,0.16620211317819408,0.09318078693200234,0.061159006935891616,0.14004667142023725,0.5662150774615933,0.13126336941725547,0.2944512867051274,0.057820703960588575,0.14831140208724963,0.07036364814934855,0.06102936410189927,0.03717508264730667,0.08329552084008557,0.11168730148441045,0.34941984831788425
std,0.49985639183878644,0.2973329634583005,0.24344419203736578,0.32212254532289336,0.23340787447025724,0.34371607264928616,0.2120484699345297,0.11270271488700266,0.37226799800882354,0.2906903276885743,0.23962563269352974,0.3470410706374775,0.49560420130301874,0.33769363820811304,0.45580309344813114,0.23340787447025724,0.35541415868493037,0.25576302568208836,0.23938804934240504,0.18919369966959665,0.27633286435921106,0.31498645026005295,0.4767944902602487
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
